experiment,station,dist_km,Feature_Set,Model,fold,CV_AUC
main,krabi,65,F4,SVM,1,0.6893
main,krabi,65,F4,SVM,2,0.7438
main,krabi,65,F4,SVM,3,0.7274
main,krabi,65,F4,SVM,4,0.732
main,krabi,65,F4,RF,0,0.7899
main,krabi,65,F4,RF,1,0.7149
main,krabi,65,F4,RF,2,0.7635
main,krabi,65,F4,RF,3,0.7166
main,krabi,65,F4,RF,4,0.7261
main,krabi,65,F4,XGB,0,0.7855
main,krabi,65,F4,XGB,1,0.7281
main,krabi,65,F4,XGB,2,0.7501
main,krabi,65,F4,XGB,3,0.6861
main,krabi,65,F4,XGB,4,0.699
main,krabi,65,F4,MLP,0,0.7847
main,krabi,65,F4,MLP,1,0.7046
main,krabi,65,F4,MLP,2,0.7591
main,krabi,65,F4,MLP,3,0.6993
main,krabi,65,F4,MLP,4,0.7169
main,phangnga,73,F1,Climatological,0,0.489
main,phangnga,73,F1,Climatological,1,0.6883
main,phangnga,73,F1,Climatological,2,0.5604
main,phangnga,73,F1,Climatological,3,0.5424
main,phangnga,73,F1,Climatological,4,0.615
main,phangnga,73,F1,LR,0,0.7898
main,phangnga,73,F1,LR,1,0.7716
main,phangnga,73,F1,LR,2,0.7651
main,phangnga,73,F1,LR,3,0.8275
main,phangnga,73,F1,LR,4,0.7963
main,phangnga,73,F1,SVM,0,0.7174
main,phangnga,73,F1,SVM,1,0.7061
main,phangnga,73,F1,SVM,2,0.7565
main,phangnga,73,F1,SVM,3,0.784
main,phangnga,73,F1,SVM,4,0.7768
main,phangnga,73,F1,RF,0,0.7746
main,phangnga,73,F1,RF,1,0.7324
main,phangnga,73,F1,RF,2,0.7609
main,phangnga,73,F1,RF,3,0.7789
main,phangnga,73,F1,RF,4,0.7652
main,phangnga,73,F1,XGB,0,0.7504
main,phangnga,73,F1,XGB,1,0.7335
main,phangnga,73,F1,XGB,2,0.768
main,phangnga,73,F1,XGB,3,0.7615
main,phangnga,73,F1,XGB,4,0.7464
main,phangnga,73,F1,MLP,0,0.7534
main,phangnga,73,F1,MLP,1,0.7393
main,phangnga,73,F1,MLP,2,0.7381
main,phangnga,73,F1,MLP,3,0.7754
main,phangnga,73,F1,MLP,4,0.7913
main,phangnga,73,F2,Climatological,0,0.489
main,phangnga,73,F2,Climatological,1,0.6883
main,phangnga,73,F2,Climatological,2,0.5604
main,phangnga,73,F2,Climatological,3,0.5424
